"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.597331526663631	0.353710678773642	0.16408975377417	0.0757308507077141	0.0476196143226712	0.277979828065928	0.00628932122635817	0.284269149292286	-1.74703367398838	-78.9636525811905	0.026965002855156	0.0830765769075999	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.485825531534691	0.152770522011257	0.139655621631772	0.0262922207872557	0.0435458987518469	0.126478301224001	0.207229477988743	0.333707779212744	-57.563743885762	-92.6966053368734	0.0624477492008435	0.113257127205208	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	0.357230661274111	0.0696312997186546	1.90650618821916	0.150545166404683	2.49414791998681	0.0809138666860283	0.290368700281345	0.209454833595317	-80.6579723003737	-58.1818982209214	3.71907982782105	6.26464517409097	90	250	1.5	"Increasing"
"nc_1_250_AFT"	0.595997290010878	0.352955201751488	0.174929965121323	0.0785679556784982	0.0524306144231311	0.27438724607299	0.00704479824851212	0.281432044321502	-1.95688840236448	-78.1755678670838	0.0306501218797097	0.0819529648997668	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.479963533939071	0.163511859790594	0.147535122872266	0.039900641504858	0.0428647639580887	0.123611218285736	0.196488140209406	0.320099358495142	-54.5800389470572	-88.9164884708728	0.0603742017238857	0.104300987298184	40	250	1	"Constant"
"rare_1_250_AFT"	0.445564215563198	0.138660923453681	2.30346907950917	-0.795595166045524	14.6709472232219	0.934256089499205	0.221339076546319	1.15559516604552	-61.483076818422	-320.998657234868	5.35496078706122	216.572092614349	90	250	1	"Constant"
"nc_23_250_AFT"	0.59399593503101	0.35182198625354	0.197201416141072	0.0801727665451687	0.0586642654338836	0.271649219708371	0.0081780137464601	0.279827233454831	-2.27167048512781	-77.7297870707865	0.0389552784368814	0.0817447766218818	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.487140151532219	0.188945601830646	0.171273449128401	0.0483616435281709	0.0462768275348884	0.140583958302475	0.171054398169354	0.311638356471829	-47.5151106025984	-86.5662101310636	0.0585942015094188	0.0992600099911566	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.533462794118339	0.181779141230187	0.44944105654088	0.0472700056842671	0.112214665652332	0.13450913554592	0.178220858769813	0.312729994315733	-49.5057941027258	-86.8694428654814	0.233759937805232	0.110392180532183	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.601956364877868	0.370386988243475	0.113889782589994	0.0803681626590668	0.0310468109948255	0.290018825584408	0.0103869882434747	0.279631837340933	2.8852745120763	-77.6755103724814	0.0130787721031661	0.0791578689276145	0	500	1.5	"Increasing"
"nonrare_1.5_500_AFT"	0.480866727047683	0.155672396217518	0.103146614927649	0.0268324186686663	0.0309033648213828	0.128839977548851	0.204327603782482	0.333167581331334	-56.7576677173562	-92.5465503698149	0.0523889938385238	0.111955655207454	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	0.444783626565887	0.166171403009217	0.228953159760109	0.0405080546481451	0.0545914940161489	0.125663348361072	0.193828596990783	0.319491945351855	-53.8412769418841	-88.7477625977375	0.0899890743755535	0.105055334363628	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.602934547319873	0.370977107262512	0.121355751414646	0.0837564207279525	0.0338620819052618	0.287220686534559	0.0109771072625117	0.276243579272047	3.04919646180881	-76.7343275755687	0.014847715285266	0.0774571556799906	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.487462701941316	0.166688840764447	0.103899656908735	0.0397530954507159	0.0295563152634051	0.126935745313731	0.193311159235553	0.320246904549284	-53.6975442320981	-88.9574734859123	0.0481643429907461	0.103431655645348	40	500	1	"Constant"
"rare_1_500_AFT"	0.557838233780829	0.173419519422159	0.425748623688091	-0.0900373661067519	3.02953103076202	0.263456885528911	0.186580480577841	0.450037366106752	-51.8279112716226	-125.010379474098	0.216074166304962	9.38059189724227	90	500	1	"Constant"
"nc_23_500_AFT"	0.604401821003651	0.371862285779467	0.136577238642319	0.0859204039211993	0.0375206127533156	0.285941881858268	0.011862285779467	0.274079596078801	3.29507938318528	-76.1332211330002	0.0187940559390747	0.0765274213681028	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.487154494162926	0.197346934790695	0.141316002968524	0.0520244224099062	0.0392444341591526	0.145322512380789	0.162653065209305	0.307975577590094	-45.1814070025848	-85.5487715528038	0.0464262323169823	0.0963890820044239	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.56293969784247	0.234611917807655	0.361300886748994	0.0601021552255504	0.090030118720179	0.174509762582104	0.125388082192345	0.29989784477445	-34.830022831207	-83.3049568817915	0.146260501921484	0.0980441395771293	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.598925975759941	0.355474406810408	0.0844389386306329	0.0767615514626832	0.0245770892464851	0.278712855347725	0.00452559318959173	0.283238448537317	-1.25710921933103	-78.6773468159213	0.00715041535078547	0.0808280520456559	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.47995314444766	0.151325720657941	0.0845441398321118	0.0257241903443846	0.0255200210454846	0.125601530313557	0.208674279342059	0.334275809655615	-57.9650775950164	-92.8543915710043	0.0506926664388793	0.112391588395079	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	0.42777314787788	0.190660176556614	0.197199480853996	0.0472336360309179	0.0480796411038567	0.143426540525696	0.169339823443386	0.312766363969082	-47.0388398453849	-86.8795455469673	0.0675636110529226	0.100134450319116	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.598388963645766	0.355692379574479	0.0900165315021214	0.0799961647228135	0.0269017298772413	0.275696214851666	0.0043076204255208	0.280003835277186	-1.19656122931133	-77.7788431325518	0.00812153153740278	0.0791258508403218	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.483954221255665	0.170007854480062	0.0821100085118146	0.0418119992511765	0.024148793133764	0.128195855228885	0.189992145519938	0.318188000748823	-52.7755959777605	-88.3855557635621	0.0428390688570796	0.101826768030351	40	1000	1	"Constant"
"rare_1_1000_AFT"	-0.0522352434149363	0.370217210331587	5.60960371248458	0.39771805845602	14.0331135042123	0.0275008481244328	0.0102172103315874	0.0377180584560202	2.8381139809965	10.4772384600056	31.4677582025078	196.929697274039	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.597583445466022	0.35601933871699	0.101479770249155	0.0820748543606757	0.029770353763823	0.273944484356315	0.00398066128300967	0.277925145639324	-1.10573924528046	-77.2014293442568	0.0103139894340714	0.0781286605418628	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.491164143798428	0.186077408920877	0.0959361512601004	0.0489119068454753	0.0266632356758685	0.137165502075401	0.173922591079123	0.311088093154525	-48.3118308553121	-86.4133592095902	0.0394528128062768	0.0974867298392251	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.553819986868134	0.247065091143725	0.251221704433269	0.0617313602509864	0.0630336901570387	0.185333730892738	0.112934908856275	0.298268639749014	-31.3708080156321	-82.8523999302816	0.0758666384167319	0.0929374275525404	90	1000	0.666666666666667	"Decreasing"
