"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.60452464077293	0.358334854276493	0.0808280851756347	0.357838011029528	0.110237870740886	0.000496843246964196	0.00166514572350734	0.00216198897047154	-0.46254047875204	-0.60055249179765	0.00653595206344018	0.0121570623417927	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.539984568467095	0.32031483819293	0.0773705760817066	0.261035307578484	0.0934114663708853	0.0592795306144457	0.0396851618070703	0.0989646924215161	-11.0236560575195	-27.49019233931	0.0075611181108685	0.0185197123956443	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	0.675054745988496	0.389005093555793	0.53365442109231	0.193558956104568	4.9506257231495	0.195446137451225	0.0290050935557928	0.166441043895432	8.05697043216468	-46.2336233042868	0.285628336603549	24.5363976718025	90	250	1.5	"Increasing"
"nc_1_250_AFT"	0.606786961162241	0.358384795084581	0.086011818984965	0.357331400375792	0.115114914434144	0.00105339470878946	0.00161520491541856	0.00266859962420801	-0.44866803206071	-0.741277673391115	0.00740064189202118	0.0132585649491347	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.525688230309955	0.307588001577476	0.0795871158216897	0.27680813993089	0.0910089377859917	0.0307798616465856	0.0524119984225245	0.0831918600691101	-14.5588884507012	-23.1088500191973	0.00908112658345775	0.0152035123386929	40	250	1	"Constant"
"rare_1_250_AFT"	2.17321390711462	0.567203195099774	6.78253972672587	-1.14456656221854	33.0009757904458	1.71176975731832	0.207203195099774	1.50456656221854	57.5564430832704	-417.935156171817	46.0457783086742	1091.32812366173	90	250	1	"Constant"
"nc_23_250_AFT"	0.610180441749966	0.358459706293391	0.0967333196533421	0.356967158307046	0.12404830186131	0.00149254798634463	0.00154029370660896	0.00303284169295359	-0.427859362946934	-0.842456025820442	0.00935970763585828	0.0153971793234092	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.541428446176815	0.318328812786677	0.100008690828405	0.29996158102767	0.10554588686141	0.0183672317590065	0.0416711872133231	0.0600384189723296	-11.5753297814786	-16.6773386034249	0.0117382260849793	0.0147445459860585	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.637295005030819	0.366538772374485	0.219285133981593	0.366129514638341	0.230024104555221	0.000409257736143531	0.00653877237448464	0.0061295146383411	1.81632565957907	1.70264295509475	0.0481287255294906	0.0529486596261327	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.601065426415962	0.361525437848824	0.0590545383118807	0.35984999529004	0.0778818782162793	0.00167544255878443	0.00152543784882425	0.000150004709960183	0.423732735784514	-0.0416679749889398	0.00348976545586001	0.00606560945590837	0	500	1.5	"Increasing"
"nonrare_1.5_500_AFT"	0.532674544377766	0.315916644796587	0.0563022887201937	0.256786269419149	0.0629487295228185	0.0591303753774377	0.0440833552034133	0.103213730580851	-12.2453764453926	-28.6704807169031	0.00511328992112236	0.0146156167289535	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	0.602079735784062	0.370081380079707	0.446677734490505	2.05727496212417	37.6165232408657	1.68719358204446	0.010081380079707	1.69727496212417	2.80038335547418	471.465267256714	0.199622632713881	1417.88356302764	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.601598139637425	0.36145659510041	0.0629934341625173	0.359494445047189	0.0819038433710459	0.00196215005322137	0.00145659510041035	0.000505554952811016	0.404609750113987	-0.140431931336393	0.00397029441687394	0.00670849514475914	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.521230574036265	0.30661982114786	0.0612019210218277	0.274768906038833	0.0679217248034629	0.0318509151090273	0.0533801788521396	0.0852310939611669	-14.8278274589277	-23.6753038781019	0.00659511863104845	0.0118777000780946	40	500	1	"Constant"
