"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.597776416210618	0.365313180953742	0.161321141533549	0.082533954475266	0.0515227251351682	0.282779226478476	0.00531318095374234	0.277466045524734	1.47588359826176	-77.0739015346483	0.0260527405975344	0.0796419976244878	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.55808277537649	0.299466438911202	0.167069885643842	0.0584114112026506	0.0542993156267336	0.241055027708552	0.0605335610887978	0.301588588797349	-16.8148780802216	-83.7746079992637	0.0315766587071376	0.0939040925703083	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	0.451556435738874	0.378648443553847	1.75115361668888	-0.181800381913651	6.51534103733652	0.560448825467498	0.0186484435538472	0.541800381913651	5.180123209402	-150.500106087125	3.06688675368953	42.7432164866431	90	300	1.5	"Increasing"
"nc_1_250_AFT"	0.596664624311613	0.36469039564352	0.171213786936237	0.0842397454683764	0.0558960674720913	0.280450650175143	0.0046903956435197	0.275760254531624	1.30288767875547	-76.6000707032288	0.02933616064834	0.0791680883381904	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.556224498239556	0.292174973352291	0.185521951346542	0.0648156488822514	0.0538084781232273	0.227359324470039	0.0678250266477093	0.295184351117749	-18.8402851799192	-81.9956530882635	0.0390186286711913	0.0900291534627441	40	250	1	"Constant"
"rare_1_250_AFT"	1.26083371771541	0.479283094854891	2.18058623675601	-0.302056032126649	16.7087917174407	0.781339126981541	0.119283094854891	0.662056032126649	33.1341930152475	-183.904453368514	4.7691847926479	279.622038846492	90	250	1	"Constant"
"nc_23_250_AFT"	0.594996936479114	0.363756217707843	0.192540841362663	0.085148584826397	0.0619329404837596	0.278607632881446	0.00375621770784301	0.274851415173603	1.04339380773417	-76.3476153260008	0.0370860847641108	0.0793789895398972	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.543819280430744	0.303196623188588	0.211111916149434	0.0736895821545057	0.0588376872122213	0.229507041034082	0.0568033768114118	0.286310417845494	-15.7787157809477	-79.5306716237484	0.0477948647574648	0.0854355288033447	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.564642694025211	0.293531518917717	0.498308154740843	0.0690892263266121	0.116162472277066	0.224442292591105	0.0664684810822828	0.290910773673388	-18.4634669673008	-80.8085482426078	0.25272907605861	0.0981227982047693	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.600208306321755	0.365679219504934	0.119470923737384	0.0850424714390997	0.034319432274892	0.280636748065834	0.00567921950493422	0.2749575285609	1.57756097359284	-76.3770912669167	0.014305555152849	0.0767794659439892	0	500	1.5	"Increasing"
