"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.605756070773559	0.362537596895976	0.0804332937890068	0.363339798208248	0.10216606473212	0.000802201312271711	0.0025375968959761	0.00333979820824781	0.704888026660028	0.927721724513281	0.00647595414775514	0.0104490590349195	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.617696997636386	0.372344473615755	0.142497343034795	0.329261059424562	0.164647907899958	0.0430834141911927	0.0123444736157547	0.0307389405754379	3.42902044882076	-8.53859460428831	0.0204578788008261	0.0280538160435333	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	0.613273605222122	0.683721058908936	6.78374646469338	0.71294768990723	13.5852817971877	0.0292266309982936	0.323721058908936	0.35294768990723	89.9225163635934	98.0410249742305	46.1240114212211	184.68445358081	90	250	1.5	"Increasing"
"nc_1_250_AFT"	0.608634106155671	0.362353578383415	0.0859632352864777	0.363042723871782	0.108894095909955	0.000689145488366516	0.00235357838341538	0.00304272387178189	0.653771773170938	0.845201075494971	0.00739521715212521	0.0118671822926063	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.604184787822127	0.370857968469541	0.146232299163136	0.342593778565344	0.158264679960401	0.0282641899041967	0.010857968469541	0.0174062214346558	3.01610235265027	-4.8350615096266	0.0215017807978224	0.0253506854676004	40	250	1	"Constant"
"rare_1_250_AFT"	0.483903638052132	0.511928777653953	2.23477511267071	0.53626920530883	20.546000316709	0.0243404276548776	0.151928777653953	0.176269205308831	42.2024382372091	48.9636681413418	5.0173021576918	422.169199846945	90	250	1	"Constant"
"nc_23_250_AFT"	0.612951159233865	0.362077550625812	0.0974208377118772	0.362844399250257	0.120712281427049	0.00076684862444476	0.00207755062581244	0.0028443992502572	0.577097396059011	0.790110902849223	0.00949513583708674	0.0145795454944178	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.590376593883455	0.369318266238447	0.133701042297242	0.345109141221842	0.141512937632424	0.0242091250166053	0.0093182662384475	0.0148908587781578	2.58840728845764	-4.1363496605994	0.0179627987970596	0.0202476491925093	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.594979345315648	0.367337741804479	0.229141662820327	0.359873854094813	0.236610865795769	0.00746388770966688	0.00733774180447949	0.000126145905187391	2.03826161235541	-0.0350405292187198	0.0525597440948537	0.0559847177254127	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.59626954175691	0.354476111137287	0.0543020700919764	0.355695461351601	0.0742350063215038	0.0012193502143143	0.00552388886271343	0.00430453864839914	-1.53441357297595	-1.19570518011087	0.00297922816444152	0.00552936521652928	0	500	1.5	"Increasing"
"nonrare_1.5_500_AFT"	0.616996952364041	0.369262222039988	0.116916920612219	0.322265970597053	0.145563030760369	0.0469962514429348	0.00926222203998806	0.0377340294029467	2.57283945555224	-10.4816748341519	0.0137553550825619	0.0226124528991266	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	0.636384669600202	0.37348743232521	0.483629520979402	0.0768373346392064	4.49262846804856	0.296650097686003	0.0134874323252095	0.283162665360794	3.74650897922487	-78.6562959335538	0.234079424393493	20.2638916469746	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.594404312646951	0.354432982147601	0.0578435485278304	0.355363997894993	0.0778765592364184	0.000931015747391739	0.00556701785239866	0.00463600210500692	-1.54639384788852	-1.28777836250192	0.0033768677940604	0.00608625099402102	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.606514510061907	0.367045601933801	0.10864601761045	0.335026033324536	0.118415487343352	0.0320195686092655	0.00704560193380116	0.0249739666754643	1.9571116482781	-6.93721296540675	0.0118535976492197	0.0146459266542707	40	500	1	"Constant"
"rare_1_500_AFT"	0.754283902537708	0.328763016900746	1.67435956176362	0.170767842421207	5.04072752484329	0.157995174479539	0.0312369830992537	0.189232157578793	-8.6769397497927	-52.5644882163313	2.80445569118242	25.4447427891747	90	500	1	"Constant"
"nc_23_500_AFT"	0.591606468957783	0.354368288652977	0.0651007850569492	0.355192214069462	0.0843235709164467	0.000823925416484073	0.00563171134702251	0.00480778593053843	-1.56436426306181	-1.33549609181623	0.00426982838772728	0.0071335794176549	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.605361356286048	0.360135483768706	0.113548753077005	0.339046299236313	0.108123628235393	0.0210891845323926	0.000135483768705591	0.020953700763687	0.0376343801959975	-5.82047243435749	0.0128933376811943	0.0121297765584797	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.625077477783323	0.364185716229041	0.150664474736971	0.356676783096647	0.149569403766819	0.00750893313239442	0.00418571622904107	0.00332321690335335	1.16269895251141	-0.923115806487043	0.0227173041681174	0.0223820503137485	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.601718741473727	0.359614177792508	0.0386921155458033	0.355779782414757	0.0520687692335982	0.00383439537775127	0.000385822207491782	0.00422021758524305	-0.107172835414384	-1.17228266256751	0.00149722866418559	0.00272896696596849	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.623259871808886	0.367940410475282	0.11697984342958	0.319703204999704	0.137498293754186	0.0482372054755775	0.00794041047528193	0.0402967950002955	2.2056695764672	-11.1935541667488	0.0137473338873249	0.0205296124726082	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	0.556489448119095	0.353453460782914	0.0599612867108882	0.339252248740854	0.0710975163130789	0.0142012120420606	0.00654653921708553	0.0207477512591461	-1.81848311585709	-5.7632642386517	0.00363821307974618	0.00548532600819992	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.60257811222424	0.35942157474469	0.0410034416496541	0.35523962311239	0.0541842791515253	0.00418195163229923	0.000578425255310322	0.00476037688760955	-0.160673682030645	-1.32232691322488	0.00168161680289257	0.0029585972952825	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.601838690592432	0.36477392635863	0.0850981351586113	0.330990037848603	0.0963251023013358	0.0337838885100266	0.00477392635862972	0.0290099621513969	1.32609065517492	-8.05832281983247	0.0072644829803509	0.0101201032373883	40	1000	1	"Constant"
"rare_1_1000_AFT"	0.621703488335599	0.369429081986793	0.266561899901536	0.443393000947773	6.85082569967545	0.0739639189609805	0.00942908198679299	0.0833930009477735	2.61918944077583	23.1647224854926	0.0711441540662302	46.9407671599407	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.60386716831178	0.35913267016884	0.0459111973942542	0.354747603541501	0.0581422822693243	0.00438506662733879	0.000867329831159724	0.00525239645849851	-0.240924953099923	-1.45899901624959	0.00210859030721019	0.00340811265604303	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.591686792165137	0.360035378600118	0.0724594805594613	0.3397362540124	0.071463295896715	0.0202991245877175	3.53786001176526e-05	0.0202637459875998	0.00982738892157017	-5.62881832988884	0.00525037757459229	0.00551762206187141	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.574728743661519	0.368558476286593	0.120512364883428	0.36554079368357	0.12702953234168	0.00301768260302304	0.00855847628659345	0.00554079368357041	2.37735452405374	1.53910935654734	0.0145964776061448	0.0161672024815899	90	1000	0.666666666666667	"Decreasing"
