"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.90612819678666	0.553426219727422	0.246324769770469	0.000824149159730546	0.0719602613425857	0.552602070567692	0.193426219727422	0.359175850840269	53.7295054798396	-99.7710696778526	0.0980895946805155	0.134185571039325	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.75949498157039	0.238177597706161	0.218013082808858	0.00189606127458407	0.0653012157164257	0.236281536431577	0.121822402293839	0.358103938725416	-33.8395561927329	-99.4733163126155	0.0623704019764636	0.1325026797047	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	0.702639245212579	0.281150167687477	0.394642645704644	0.0639139293237604	0.0971903112630006	0.217236238363717	0.078849832312523	0.29608607067624	-21.902731197923	-82.2461307433999	0.161960113864474	0.0971129178518941	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.602418015600833	0.356720460576282	0.178509970725563	0.0373987719890036	0.0478788646353656	0.319321688587279	0.00327953942371756	0.322601228010996	-0.910983173254878	-89.6114522252768	0.0318765650272731	0.106363937992975	0	250	1	"Constant"
"nonrare_1_250_COX"	0.504562242717195	0.171835925454601	0.153832388945724	0.0313611183932116	0.0424218906422226	0.140474807061389	0.188164074545399	0.328638881606788	-52.267798484833	-91.2885782241079	0.059070122838275	0.109803131309421	40	250	1	"Constant"
"rare_1_250_COX"	0.485447962159472	0.223368033898609	0.351975718995886	0.0538830905960139	0.0865878435176135	0.169484943302595	0.136631966101391	0.306116909403986	-37.9533239170532	-85.0324748344406	0.142555200923402	0.101205016868079	90	250	1	"Constant"
"nc_23_250_COX"	0.40066663539577	0.237152025273625	0.13417551048701	0.0392183062846114	0.0356225157202863	0.197933718989013	0.122847974726375	0.320781693715389	-34.1244374239931	-89.1060260320524	0.0330946925088219	0.104169858649155	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.342833308769837	0.132740913785062	0.120485077953764	0.0303959445770953	0.0310027756776233	0.102344969207967	0.227259086214938	0.329604055422905	-63.1275239485938	-91.556682061918	0.066163346276773	0.109600005450942	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.362100446839585	0.125677786563535	0.301044173748521	0.0318981819570997	0.075613160475631	0.0937796046064351	0.234322213436465	0.3281018180429	-65.0895037323514	-91.1393939008056	0.145534494257694	0.11336815304017	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.905811940506989	0.557845968137954	0.174384928258061	0.00595520774594538	0.0429683869604825	0.551890760392008	0.197845968137954	0.354044792254055	54.9572133716538	-98.3457756261263	0.0695531303120132	0.127193997200202	0	500	1.5	"Increasing"
"nonrare_1.5_500_COX"	0.748023878966077	0.241932788598237	0.160706520212725	0.00341535590047086	0.0457565598611876	0.238517432697766	0.118067211401763	0.356584644099529	-32.7964476116008	-99.051290027647	0.0397664520470716	0.129246271177918	40	500	1.5	"Increasing"
"rare_1.5_500_COX"	0.670690376592722	0.25312069879151	0.34775299274833	0.0591635956213527	0.0811031883236514	0.193957103170158	0.10687930120849	0.300836404378647	-29.688694780136	-83.5656678829576	0.132355328992235	0.0970802693557347	90	500	1.5	"Increasing"
"nc_1_500_COX"	0.604619410379148	0.372548841939582	0.123780294517819	0.0418626755392587	0.0308174767482434	0.330686166400323	0.0125488419395818	0.318137324460741	3.4857894276616	-88.3714790168726	0.0154790347449426	0.102161074088167	0	500	1	"Constant"
"nonrare_1_500_COX"	0.508769251759095	0.174043506406463	0.109281503751989	0.0315348621939556	0.0295849840618051	0.142508644212508	0.185956493593537	0.328465137806044	-51.6545815537602	-91.2403160572346	0.046522264571899	0.108764618035881	40	500	1	"Constant"
"rare_1_500_COX"	0.489286096110219	0.202284117178897	0.271857462483857	0.0492615701355163	0.0664037704788303	0.153022547043381	0.157715882821103	0.310738429864484	-43.8099674503063	-86.3162305179121	0.0987807796022017	0.10096783252845	90	500	1	"Constant"
"nc_23_500_COX"	0.403868073348213	0.24908373287909	0.0931096092939883	0.042774505050289	0.0226204787514869	0.206309227828801	0.11091626712091	0.317225494949711	-30.8100742002527	-88.1181930415864	0.0209718176549161	0.101143700705036	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_COX"	0.341035272977367	0.137992424831748	0.098518119863296	0.0330800594981752	0.0260583424670458	0.104912365333573	0.222007575168252	0.326919940501825	-61.6687708800701	-90.8110945838402	0.0589931833734859	0.107555684709847	40	500	0.666666666666667	"Decreasing"
"rare_23_500_COX"	0.374616174593801	0.157316361192652	0.239700025286894	0.0394974064509638	0.0590044898859836	0.117818954741688	0.202683638807348	0.320502593549036	-56.3010107798189	-89.0284982080656	0.0985367595627253	0.106203442298364	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_COX"	0.900627965404929	0.534862404095292	0.129662575179549	0.00161095247072806	0.0341044251056638	0.533251451624564	0.174862404095292	0.358389047529272	48.5728900264701	-99.5525132025755	0.0473892437681773	0.129605821200727	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_COX"	0.744540731222138	0.234521081733362	0.131232657942052	0.00313761394405851	0.0368455386121286	0.231383467789304	0.125478918266638	0.356862386055941	-34.855255074066	-99.1284405710949	0.032966969439901	0.128708356297158	40	1000	1.5	"Increasing"
"rare_1.5_1000_COX"	0.649247136406437	0.292116125055021	0.303385144528409	0.0699188636338813	0.0721408162420375	0.22219726142114	0.0678838749449787	0.290081136366119	-18.8566319291607	-80.578093435033	0.0966507663980689	0.0893513630435261	90	1000	1.5	"Increasing"
"nc_1_1000_COX"	0.599802701270694	0.356920535340944	0.0921714211956427	0.0386491004533332	0.0246600871025201	0.318271434887611	0.00307946465905623	0.321350899546667	-0.855406849737842	-89.264138762963	0.00850505398781095	0.103874520535356	0	1000	1	"Constant"
"nonrare_1_1000_COX"	0.505354517405568	0.177308917565314	0.0852945050659549	0.0332904336164955	0.0231955828159471	0.144018483948818	0.182691082434686	0.326709566383504	-50.747522898524	-90.7526573287512	0.0406511841956036	0.107277175828669	40	1000	1	"Constant"
"rare_1_1000_COX"	0.479478450028143	0.184429778401967	0.251276098429423	0.0462086603102535	0.0621135360472933	0.138221118091713	0.175570221598033	0.313791339689746	-48.7695059994537	-87.1642610249296	0.0939645803538956	0.102323096224584	90	1000	1	"Constant"
"nc_23_1000_COX"	0.399524728897001	0.238209761014827	0.0691645006294168	0.0406333362520716	0.0181273345234157	0.197576424762755	0.121790238985173	0.319366663747928	-33.8306219403258	-88.7129621522023	0.0196165904593821	0.102323666170406	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_COX"	0.343977123248822	0.130107227384665	0.0669174807181373	0.0314459656130386	0.0176094546378302	0.098661261771626	0.229892772615335	0.328554034386961	-63.8591035042598	-91.2650095519337	0.0573286361264286	0.10825784640459	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_COX"	0.369856203790376	0.166387487421522	0.169366914620283	0.0410008945949252	0.0419877832493529	0.125386592826597	0.193612512578478	0.318999105405075	-53.7812534940217	-88.6108626125208	0.0661709567949455	0.103523403191433	90	1000	0.666666666666667	"Decreasing"
