"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.914615418343022	0.542519694294942	0.125513274635111	0.074723630546283	0.122576075925537	0.467796063748659	0.182519694294942	0.285276369453717	50.6999150819282	-79.2434359593658	0.0490670209151478	0.0964075013579966	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.828659858799198	0.490510201994087	0.120105387291356	0.183467824512535	0.12352034512055	0.307042377481552	0.130510201994087	0.176532175487465	36.2528338872463	-49.0367154131847	0.0314582168809439	0.0464208846410369	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	1.04141593652215	0.556197116072521	0.183877363307192	0.513155149546829	0.195807066641086	0.0430419665256926	0.196197116072521	0.153155149546829	54.4991989090337	42.5430970963413	0.0723041930919796	0.0617969071792983	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.612127081911802	0.361616113878424	0.0892092793063591	0.165037489215434	0.0912176534938531	0.19657862466299	0.00161611387842386	0.194962510784566	0.448920521784407	-54.1562529957128	0.00796090733842802	0.0463310409203467	0	250	1	"Constant"
"nonrare_1_250_COX"	0.546302673658767	0.31734733924242	0.0819805146215439	0.218715619716883	0.0824715688403287	0.0986317195255373	0.0426526607575798	0.141284380283117	-11.84796132155	-39.2456611897548	0.00854005424731437	0.0267628357789695	40	250	1	"Constant"
"rare_1_250_COX"	0.623845869134577	0.365278952661656	0.149784842508233	0.348914291564824	0.152647356480764	0.0163646610968316	0.0052789526616559	0.0110857084351757	1.46637573934886	-3.07936345421547	0.02246336638642	0.023424108372075	90	250	1	"Constant"
"nc_23_250_COX"	0.410276949862705	0.241455966845432	0.0670962201447112	0.165741658745594	0.0686896069029204	0.075714308099838	0.118544033154568	0.194258341254406	-32.9288980984912	-53.9606503484462	0.0185545905542589	0.042454565243391	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.376370021567166	0.22079485352187	0.0693466457237449	0.185775725502174	0.0671344019483654	0.0350191280196964	0.13920514647813	0.174224274497826	-38.6680962439249	-48.3956318049517	0.0241870300791321	0.0348611257492585	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.423282630767298	0.245910584068528	0.138317926374	0.239334187738844	0.140134837409197	0.00657639632968418	0.114089415931472	0.120665812261156	-31.6915044254088	-33.5182811836544	0.0321482435839876	0.0341980109043465	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.905737076376211	0.545347922219809	0.0926471211118464	0.0778258270157831	0.0832392123439727	0.467522095204026	0.185347922219809	0.282174172984217	51.4855339499469	-78.381714717838	0.0429373413215134	0.0865510303709717	0	500	1.5	"Increasing"
