"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.90612819678666	0.553426219727422	0.246324769770469	0.000824149159730546	0.0719602613425857	0.552602070567692	0.193426219727422	0.359175850840269	53.7295054798396	-99.7710696778526	0.0980895946805155	0.134185571039325	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.850134691238863	0.456678780561124	0.255743432846102	0.0235957806137215	0.0791507730707529	0.433082999947403	0.0966787805611242	0.336404219386279	26.8552168225345	-93.4456164961885	0.0747514900546948	0.119432643698589	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	0.697621078016317	0.398091342455521	0.443103429114451	0.0753231237422931	0.094739968115044	0.322768218713228	0.038091342455521	0.284676876257707	10.580928459867	-79.0769100715852	0.197791599263049	0.0900165854342853	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.604286389167344	0.367713138117323	0.173592137640663	0.0392544264958254	0.0506567869346542	0.328458711621498	0.0077131381173231	0.320745573504175	2.14253836592308	-89.0959926400485	0.0301937227502717	0.105443832985065	0	250	1	"Constant"
"nonrare_1_250_COX"	0.571257050326082	0.301052496066499	0.193563471314944	0.050407290292198	0.0529940155197426	0.250645205774301	0.0589475039335007	0.309592709707802	-16.3743066481946	-85.9979749188339	0.0409416256474813	0.098656011585126	40	250	1	"Constant"
"rare_1_250_COX"	0.52550694634804	0.297127636185855	0.361542066324051	0.0610932446359861	0.0760706963171175	0.236034391549868	0.0628723638141454	0.298906755364014	-17.4645455039293	-83.0296542677816	0.134665599853443	0.0951319992404135	90	250	1	"Constant"
"nc_23_250_COX"	0.401699944783106	0.244726111341192	0.130421445327522	0.0413768267575044	0.037014972960081	0.203349284583688	0.115273888658808	0.318623173242496	-32.0205246274466	-88.5064370118043	0.030297822807843	0.102890834750353	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.373469448791798	0.208390050723758	0.144090197103169	0.04537239339681	0.0385744684750567	0.163017657326948	0.151609949276242	0.31462760660319	-42.1138747989561	-87.396557389775	0.0437475616207747	0.100478520454985	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.375831818108921	0.193545846959514	0.323048047044427	0.0444211942272861	0.0753745318459876	0.149124652732228	0.166454153040486	0.315578805772714	-46.2372647334683	-87.6607793813094	0.132067025763644	0.105271302703934	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.905880009440417	0.55168891154501	0.182212257862332	0.00293536493716845	0.0477820629034915	0.548753546607841	0.19168891154501	0.357064635062832	53.2469198736139	-99.1846208507865	0.0699459457245995	0.129778279147866	0	500	1.5	"Increasing"
