"m_cp"	"m_a_b"	"sd.ab"	"m_c_cp"	"sd.ccp"	"diff"	"abs.bias.ab"	"abs.bias.c_cp"	"prop.bias.ab"	"prop.bias.ccp"	"mse_ab"	"mse_ccp"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.919105209997393	0.549221872430326	0.126308920779894	0.0821257486357528	0.116251111407897	0.467096123794574	0.189221872430326	0.277874251364247	52.5616312306462	-77.1872920456242	0.0517588604746202	0.0907284204748121	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.931874720013209	0.567499189102906	0.23911296953595	0.176904637225494	0.198037419735838	0.390594551877412	0.207499189102906	0.183095362774506	57.6386636396961	-50.8598229929184	0.100230925678664	0.0727427314851565	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	0.899281374605567	0.547203860517157	0.169515975443565	0.454476898604011	0.202255891879864	0.0927269619131461	0.187203860517157	0.0944768986040108	52.0010723658769	26.2435829455586	0.0637809513231106	0.0498333301699516	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.615407749911344	0.366358542762067	0.0899585196814447	0.169682989768977	0.0861562395543303	0.19667555299309	0.00635854276206693	0.190317010231023	1.76626187835193	-52.8658361752841	0.0081329663293339	0.0436434619974184	0	250	1	"Constant"
"nonrare_1_250_COX"	0.610720888053026	0.373072016972374	0.151503676469414	0.232795285360304	0.132169185739092	0.140276731612069	0.0130720169723736	0.127204714639696	3.63111582565935	-35.3346429554711	0.0231242416114748	0.0336497330855011	40	250	1	"Constant"
"rare_1_250_COX"	0.609693257337613	0.367571845642551	0.154336916563272	0.334246508913271	0.160611983312656	0.0333253367292803	0.00757184564255109	0.0257534910867292	2.10329045626419	-7.15374752409144	0.0238772166606929	0.0264594514867791	90	250	1	"Constant"
"nc_23_250_COX"	0.414295678071548	0.244351969721777	0.0673740176724922	0.168873599989634	0.0662436068067741	0.0754783697321437	0.115648030278223	0.191126400010366	-32.1244528550618	-53.0906666695462	0.017913725164566	0.040917516223693	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.3955028667107	0.247680389213773	0.0920807133217513	0.200457362337037	0.0899549504113896	0.0472230268767358	0.112319610786227	0.159542637662963	-31.199891885063	-44.317399350823	0.021094552733012	0.033545746335971	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.403383324341167	0.246464550567683	0.140293864010991	0.235288976822623	0.140010617561559	0.0111755737450602	0.113535449432317	0.124711023177377	-31.5376248423102	-34.6419508826047	0.0325726665569326	0.0351558123319173	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.898865943016727	0.534291777259955	0.0851370961646379	0.0777071158368993	0.0822314983318036	0.456584661423056	0.174291777259955	0.282292884163101	48.4143825722097	-78.4146900453057	0.0376259487637806	0.0864512917670152	0	500	1.5	"Increasing"
"nonrare_1.5_500_COX"	0.943127522580306	0.561464716301185	0.191474118542156	0.16265859876059	0.193811406865385	0.398806117540595	0.201464716301185	0.19734140123941	55.9624211947736	-54.817055899836	0.0772503699858124	0.0765064900742734	40	500	1.5	"Increasing"
"rare_1.5_500_COX"	0.872800206955844	0.540298058086704	0.1237770734627	0.453344826973576	0.129661967806626	0.0869532311131274	0.180298058086704	0.0933448269735762	50.0827939129732	25.9291186037712	0.0478281536648271	0.0255254826182133	90	500	1.5	"Increasing"
"nc_1_500_COX"	0.597468107336116	0.356372238778639	0.0603461116596687	0.166109541585344	0.0607082559863707	0.190262697193295	0.00362776122136121	0.193890458414656	-1.00771145037812	-53.8584606707378	0.00365481384392042	0.0412790022091523	0	500	1	"Constant"
"nonrare_1_500_COX"	0.609343941782556	0.367290887785698	0.106539495385248	0.229338041704969	0.0995243802421554	0.137952846080729	0.00729088778569786	0.130661958295031	2.0252466071383	-36.2949884152865	0.0114038211216469	0.0269776496080776	40	500	1	"Constant"
"rare_1_500_COX"	0.621961135829075	0.362108222598804	0.102231656522581	0.334667737607202	0.106249918496851	0.027440484991602	0.00210822259880378	0.0253322623927982	0.585617388556605	-7.03673955355505	0.0104557561978772	0.011930768698525	90	500	1	"Constant"
"nc_23_500_COX"	0.396282281225247	0.237494829359852	0.0451467678088902	0.165982352593478	0.0454983809207641	0.0715124767663735	0.122505170640148	0.194017647406522	-34.0292140667079	-53.8937909462561	0.0170457474771617	0.0397129501715724	0	500	0.666666666666667	"Decreasing"
