"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.600733914603777	0.0946926712496419	0.0309814672020278	0.265307328750358	-73.6964802084328	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.467971300112224	0.0715917489812366	0.0254635587432035	0.288408251018763	-80.1134030607676	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	1.15880329018677	16.7537925819685	113.050824491427	16.3937925819685	4553.83127276902	90	250	1.5	"Increasing"
"nc_1_250_AFT"	0.601411051880673	0.112643856306741	0.0320261811930584	0.247356143693259	-68.7100399147943	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.477173631012249	0.0929373719776743	0.0267748357165639	0.267062628022326	-74.1840633395349	40	250	1	"Constant"
"rare_1_250_AFT"	16.1306240268675	21.1267625796443	284.410424147929	20.7667625796443	5768.54516101229	90	250	1	"Constant"
"nc_23_250_AFT"	0.603357090373687	0.14124358473883	0.0342312899086066	0.21875641526117	-60.7656709058806	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.492557570721708	0.12964374334859	0.0293521103490828	0.23035625665141	-63.9878490698362	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.735665983982233	0.399153154868937	0.10536367006081	0.0391531548689369	10.8758763524825	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.600798788992011	0.0866685631596647	0.0248917984650676	0.273331436840335	-75.9253991223154	0	500	1.5	"Increasing"
"nonrare_1.5_500_AFT"	0.474427607627039	0.0559945799103127	0.0207241379723981	0.304005420089687	-84.4459500249131	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	0.834858100560657	31.302991115701	196.20248251319	30.942991115701	8595.27530991693	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.601072570736316	0.0981426508987235	0.0262940789530324	0.261857349101276	-72.7381525281323	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.472171089650557	0.0704200482928825	0.020849232968854	0.289579951707117	-80.4388754741993	40	500	1	"Constant"
"rare_1_500_AFT"	8.51661559733289	8.37992628191638	108.200438327374	8.01992628191638	2227.75730053233	90	500	1	"Constant"
"nc_23_500_AFT"	0.601521228262147	0.115998513724719	0.0281838575793879	0.244001486275281	-67.7781906320225	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.494107255732006	0.0970267499885951	0.0216076880905852	0.262973250011405	-73.048125003168	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.59513852229137	0.283261492574081	0.0611249868827931	0.0767385074259187	-21.3162520627552	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.597016476511082	0.083011825318795	0.0188359311654199	0.276988174681205	-76.9411596336681	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.474969983143123	0.0489853203411121	0.0181995836903074	0.311014679658888	-86.3929665719133	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	0.823885595208587	34.7811857513755	241.657807821323	34.4211857513755	9561.44048649319	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.595863978298032	0.0905519493044493	0.020464417061773	0.269448050695551	-74.8466807487641	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.476290104676792	0.0599056057621123	0.0187979359405823	0.300094394237888	-83.3595539549688	40	1000	1	"Constant"
"rare_1_1000_AFT"	0.473306003622605	0.137586703215143	0.0743446796488973	0.222413296784857	-61.781471329127	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.594280706371689	0.101356098347576	0.0225176657890051	0.258643901652424	-71.8455282367845	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.497052557539344	0.0771938523488572	0.0196498588231054	0.282806147651143	-78.5572632364285	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.523411095325431	0.203883688886483	0.0419116825993987	0.156116311113517	-43.365641975977	90	1000	0.666666666666667	"Decreasing"
