"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.599979296671972	0.361184403356829	0.0926419724468156	0.00118440335682918	0.329000932452549	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.508459751668045	0.311629654626463	0.0770250415582015	0.0483703453735365	-13.4362070482046	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	0.948865475113099	21.1989101358035	152.946859968229	20.8389101358035	5788.58614883431	90	250	1.5	"Increasing"
"nc_1_250_AFT"	0.601472963690021	0.364964472055206	0.094271654893174	0.00496447205520567	1.37902001533491	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.504592601142664	0.311708749226608	0.0871498010690978	0.0482912507733919	-13.4142363259422	40	250	1	"Constant"
"rare_1_250_AFT"	16.227394569186	16.9470196509657	246.308198178828	16.5870196509657	4607.50545860159	90	250	1	"Constant"
"nc_23_250_AFT"	0.604234146817155	0.373101162782553	0.100904765975326	0.0131011627825526	3.6392118840424	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.528628541897661	0.336260332956149	0.098236411422802	0.0237396670438512	-6.59435195662532	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.750261798075202	0.542381747482716	0.169452131671176	0.182381747482716	50.6615965229767	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.601451597999636	0.363155883219329	0.0693658717337963	0.00315588321932864	0.876634227591288	0	500	1.5	"Increasing"
"nonrare_1.5_500_AFT"	0.506354807169112	0.31249565426851	0.0552946845992648	0.0475043457314901	-13.1956515920806	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	1.08841525005355	13.7867470071644	48.6067817577806	13.4267470071644	3729.65194643455	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.602178456056819	0.364855604895037	0.0702966661659423	0.00485560489503722	1.34877913751034	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.506220635606475	0.314664876484441	0.0597677466623812	0.0453351235155588	-12.593089865433	40	500	1	"Constant"
"rare_1_500_AFT"	2.81586973111242	3.00617177898537	50.0385969399975	2.64617177898537	735.047716384826	90	500	1	"Constant"
"nc_23_500_AFT"	0.602926474146633	0.369145131201489	0.0746432402352211	0.00914513120148897	2.54031422263582	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.516540365031711	0.327278323191095	0.0727462683851351	0.0327216768089054	-9.08935466914039	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.685835020004146	0.452363322863509	0.143176638970975	0.0923633228635088	25.6564785731969	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.598473356817884	0.361645603428735	0.0472782514670594	0.00164560342873549	0.457112063537635	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.505787680669305	0.307975987436046	0.0395081271471749	0.0520240125639544	-14.4511146010985	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	1.21700763244177	18.4814865212106	72.1389359247527	18.1214865212106	5033.74625589182	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.598120576810439	0.363130813832227	0.0488287303995747	0.00313081383222746	0.869670508952073	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.507920813310856	0.310618548570843	0.0438507799590479	0.0493814514291571	-13.7170698414325	40	1000	1	"Constant"
"rare_1_1000_AFT"	13.6459539483786	13.4767593149098	254.730870771586	13.1167593149098	3643.54425414161	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.597679834549401	0.366130238228021	0.0528699347377308	0.00613023822802117	1.7028439522281	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.518371210714933	0.317051772338342	0.0496176038101514	0.042948227661658	-11.9300632393494	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.608443987599643	0.398255117523736	0.0935599332462242	0.0382551175237358	10.6264215343711	90	1000	0.666666666666667	"Decreasing"
