"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.594580519558022	0.103250123771132	0.035370310126994	0.256749876228868	-71.3194100635743	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.555913055217989	0.101400071502964	0.0314126822226268	0.258599928497036	-71.833313471399	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	6.2954739347524	15.2079917071832	74.050357136115	14.8479917071832	4124.44214088422	90	250	1.5	"Increasing"
"nc_1_250_AFT"	0.594036003375877	0.116941769070978	0.0363875208589186	0.243058230929022	-67.5161752580618	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.546759701349065	0.120770255809889	0.0338345122984703	0.239229744190111	-66.4527067194753	40	250	1	"Constant"
"rare_1_250_AFT"	0.612524506050623	6.21577239952619	75.1532228054455	5.85577239952619	1626.60344431283	90	250	1	"Constant"
"nc_23_250_AFT"	0.593115688614275	0.142020352295761	0.0387797908708891	0.217979647704239	-60.5499021400665	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.538766861814901	0.154775879881095	0.0365088544362716	0.205224120118905	-57.0067000330293	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.694681021631236	0.463965119207077	0.118068735759692	0.103965119207077	28.8791997797436	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.595532547680754	0.0949525349062063	0.026661515207281	0.265047465093794	-73.6242958593871	0	500	1.5	"Increasing"
"nonrare_1.5_500_AFT"	0.560132685176439	0.0860192394955924	0.0251550057368548	0.273980760504408	-76.1057668067799	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	2.83549634617994	23.6376538437991	81.4945374919631	23.2776538437991	6466.01495661087	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.595043705447941	0.102686238985104	0.0274997571491038	0.257313761014896	-71.4760447263601	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.538913139803888	0.0965988342790473	0.0257770494958904	0.263401165720953	-73.1669904780424	40	500	1	"Constant"
"rare_1_500_AFT"	0.518469461142079	1.10239944428025	12.6988877460081	0.742399444280248	206.222067855624	90	500	1	"Constant"
"nc_23_500_AFT"	0.593710021781118	0.117073040715651	0.0287749175929566	0.242926959284349	-67.4797109123191	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.544933831437444	0.120142812491463	0.0285422384121007	0.239857187508537	-66.6269965301491	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.5888352552314	0.33740646282123	0.069541299249327	0.0225935371787702	-6.27598254965838	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.593608730200559	0.0905159823075736	0.0193977828521455	0.269484017692426	-74.8566715812296	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.550159631332888	0.0796973893955507	0.0197987328351439	0.280302610604449	-77.8618362790137	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	8.22846660706321	325.32915799468	6202.16672788847	324.96915799468	90269.2105540778	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.592408527356795	0.094950753679617	0.0205995747587644	0.265049246320383	-73.6247906445508	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.547934342843946	0.0848188353497838	0.020947242285209	0.275181164650216	-76.4392124028378	40	1000	1	"Constant"
"rare_1_1000_AFT"	0.518158798975916	1.70670708617941	34.1589483234347	1.34670708617941	374.085301716502	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.589774882643855	0.102651392911772	0.0224463191037135	0.257348607088228	-71.4857241911745	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.541096174320543	0.0974801206967316	0.0216943776247697	0.262519879303268	-72.9221886953523	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.582598080300521	0.244203731774155	0.0445513116709241	0.115796268225845	-32.1656300627347	90	1000	0.666666666666667	"Decreasing"
