"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_AFT"	0.590765777448893	0.372370050432753	0.0989832865269735	0.0123700504327527	3.43612512020908	0	250	1.5	"Increasing"
"nonrare_1.5_250_AFT"	0.589716631342338	0.375881679319231	0.135208974712268	0.0158816793192312	4.41157758867533	40	250	1.5	"Increasing"
"rare_1.5_250_AFT"	1.68962531086899	16.8085385971936	68.8534530135711	16.4485385971936	4569.03849922043	90	250	1.5	"Increasing"
"nc_1_250_AFT"	0.588797376647414	0.376691144382516	0.103528692992614	0.0166911443825165	4.63642899514348	0	250	1	"Constant"
"nonrare_1_250_AFT"	0.60451198232037	0.365585065326497	0.111541006154082	0.00558506532649727	1.55140703513813	40	250	1	"Constant"
"rare_1_250_AFT"	0.644787176473461	2.64478797034337	22.0125979179199	2.28478797034337	634.66332509538	90	250	1	"Constant"
"nc_23_250_AFT"	0.585151188535816	0.38583834550962	0.11331210097019	0.0258383455096197	7.17731819711657	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_AFT"	0.58019222072179	0.377960656287993	0.116551762444062	0.0179606562879933	4.98907119110924	40	250	0.666666666666667	"Decreasing"
"rare_23_250_AFT"	0.767259101201254	0.611221051331316	0.199671337419981	0.251221051331316	69.78362536981	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_AFT"	0.597186137635966	0.36296749801989	0.0660467566663971	0.00296749801988994	0.824305005524982	0	500	1.5	"Increasing"
"nonrare_1.5_500_AFT"	0.593663309616273	0.363291369432535	0.120425236121528	0.00329136943253455	0.914269286815153	40	500	1.5	"Increasing"
"rare_1.5_500_AFT"	2.04409925352596	50.7347811815062	380.267215160462	50.3747811815062	13992.9947726406	90	500	1.5	"Increasing"
"nc_1_500_AFT"	0.597884504047289	0.364430261396478	0.0679319943871075	0.00443026139647756	1.23062816568821	0	500	1	"Constant"
"nonrare_1_500_AFT"	0.588415013419184	0.359993784093404	0.0969646633831031	6.21590659644067e-06	-0.00172664072123352	40	500	1	"Constant"
"rare_1_500_AFT"	1.82359902650162	0.999040689706885	7.15893090230692	0.639040689706885	177.511302696357	90	500	1	"Constant"
"nc_23_500_AFT"	0.599085214912101	0.367933654065746	0.0732491720321844	0.00793365406574625	2.20379279604063	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_AFT"	0.59074255440811	0.366739444142216	0.0886412872517903	0.00673944414221561	1.87206781728211	40	500	0.666666666666667	"Decreasing"
"rare_23_500_AFT"	0.66209334985787	0.503464457104687	0.133342151355712	0.143464457104687	39.8512380846353	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_AFT"	0.596040872873428	0.3654832376495	0.0473011851856645	0.00548323764950009	1.52312156930558	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_AFT"	0.603506533570895	0.359495433958357	0.125677095160432	0.000504566041643395	-0.140157233789832	40	1000	1.5	"Increasing"
"rare_1.5_1000_AFT"	3.52740285484797	49.0740463653893	286.487753254831	48.7140463653893	13531.6795459415	90	1000	1.5	"Increasing"
"nc_1_1000_AFT"	0.595347681501152	0.366078018980611	0.0493080366268262	0.00607801898061144	1.6883386057254	0	1000	1	"Constant"
"nonrare_1_1000_AFT"	0.599389393485133	0.355079587285957	0.0864352857736543	0.00492041271404275	-1.36678130945632	40	1000	1	"Constant"
"rare_1_1000_AFT"	0.6128387093081	0.378639782498017	0.0811588463527081	0.0186397824980167	5.17771736056019	90	1000	1	"Constant"
"nc_23_1000_AFT"	0.594158475557774	0.367747489221056	0.0539593028706226	0.00774748922105634	2.15208033918232	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_AFT"	0.592993476380642	0.355295926430028	0.0689237799931092	0.00470407356997238	-1.30668710277011	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_AFT"	0.62462145474164	0.424306376545785	0.104806108329399	0.0643063765457851	17.8628823738292	90	1000	0.666666666666667	"Decreasing"
