"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.807865277772021	0.111076552994003	0.044574634974549	0.248923447005997	-69.1454019461103	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.688185483689046	0.085438132378582	0.0367171558992695	0.274561867621418	-76.2671854503939	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	0.726240196926434	0.154912719615951	0.0727481711496693	0.205087280384049	-56.9686889955691	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.57480588101138	0.0877130657600931	0.0317580089094331	0.272286934239907	-75.6352595110853	0	250	1	"Constant"
"nonrare_1_250_COX"	0.498917273924051	0.0736675216710057	0.0269263110970803	0.286332478328994	-79.5367995358317	40	250	1	"Constant"
"rare_1_250_COX"	0.61911708127083	0.157774298430302	0.132619027826853	0.202225701569698	-56.1738059915827	90	250	1	"Constant"
"nc_23_250_COX"	0.401741013798008	0.0716392650915174	0.0225864409427327	0.288360734908483	-80.1002041412452	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.357137221210658	0.0668875463412694	0.0184333056832459	0.293112453658731	-81.4201260163141	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.536263423651247	0.143791000553584	0.0432910195661074	0.216208999446416	-60.0580554017823	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.799858791350768	0.106466887800562	0.0351919831894457	0.253533112199438	-70.4258644998438	0	500	1.5	"Increasing"
"nonrare_1.5_500_COX"	0.694722972819517	0.0692311865541807	0.0309876878426855	0.290768813445819	-80.7691148460609	40	500	1.5	"Increasing"
"rare_1.5_500_COX"	0.67855068863677	0.119726270930033	0.0663527808532458	0.240273729069967	-66.7427025194354	90	500	1.5	"Increasing"
"nc_1_500_COX"	0.566397206907237	0.0803114262568348	0.025999570849986	0.279688573743165	-77.6912704842125	0	500	1	"Constant"
"nonrare_1_500_COX"	0.488808816639247	0.0571106919934759	0.0214399456680662	0.302889308006524	-84.1359188907012	40	500	1	"Constant"
"rare_1_500_COX"	0.537438925190526	0.118311951561015	0.0944912135418328	0.241688048438985	-67.1355690108291	90	500	1	"Constant"
"nc_23_500_COX"	0.391950786255681	0.0613479820373621	0.0186695281827439	0.298652017962638	-82.9588938785105	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_COX"	0.348076559146187	0.0511929333566647	0.0147936893515514	0.308807066643335	-85.7797407342598	40	500	0.666666666666667	"Decreasing"
"rare_23_500_COX"	0.424791720398578	0.103733446713034	0.0264289222290877	0.256266553286966	-71.1851536908238	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_COX"	0.796458044648671	0.106421346433371	0.0264661971473129	0.253578653566629	-70.4385148796191	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_COX"	0.692373374822726	0.0636545389014554	0.0277760406020973	0.296345461098545	-82.3181836384846	40	1000	1.5	"Increasing"
"rare_1.5_1000_COX"	0.651145583847572	0.098875391083248	0.0504308676611358	0.261124608916752	-72.5346135879867	90	1000	1.5	"Increasing"
"nc_1_1000_COX"	0.562605025352653	0.0781498729606592	0.0205981893615844	0.281850127039341	-78.2917019553724	0	1000	1	"Constant"
"nonrare_1_1000_COX"	0.48846063440342	0.0507945588834191	0.0197228043716661	0.309205441116581	-85.8904003101613	40	1000	1	"Constant"
"rare_1_1000_COX"	0.488790495673146	0.0887496225934437	0.0590451371004722	0.271250377406556	-75.3473270573767	90	1000	1	"Constant"
"nc_23_1000_COX"	0.387928258834853	0.0565547858043349	0.01560046729643	0.303445214195665	-84.2903372765737	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_COX"	0.346863048286782	0.0421196256808493	0.0134768210548899	0.317880374319151	-88.3001039775419	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_COX"	0.37521603945146	0.0780448665079895	0.0242868501468343	0.28195513349201	-78.3208704144474	90	1000	0.666666666666667	"Decreasing"
