"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.621457387786807	0.36343318095356	0.0900381977795447	0.00343318095356038	0.953661375988994	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.625607137548398	0.377282605740477	0.09133419102973	0.0172826057404768	4.80072381679911	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	1.0406465175414	0.560836460602481	0.227968546255594	0.200836460602481	55.7879057229114	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.493529121241846	0.285012253717839	0.0730553784999065	0.0749877462821606	-20.8299295228224	0	250	1	"Constant"
"nonrare_1_250_COX"	0.477213983377447	0.280457744253919	0.0780855149053477	0.0795422557460814	-22.0950710405782	40	250	1	"Constant"
"rare_1_250_COX"	0.723810245807369	0.364136019745193	0.170226369838499	0.00413601974519262	1.14889437366462	90	250	1	"Constant"
"nc_23_250_COX"	0.372939087293079	0.210409034823458	0.0591238858878124	0.149590965176542	-41.5530458823728	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.369148800608146	0.208516108032222	0.0649963232240756	0.151483891967778	-42.0788588799382	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.559765913000943	0.269065973340226	0.110614086487405	0.0909340266597735	-25.2594518499371	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.611105017168272	0.365583280763583	0.0673169465215818	0.00558328076358278	1.55091132321744	0	500	1.5	"Increasing"
"nonrare_1.5_500_COX"	0.623055282526965	0.381928107017105	0.0653513441230741	0.0219281070171053	6.0911408380848	40	500	1.5	"Increasing"
"rare_1.5_500_COX"	0.885102439296671	0.544048866642496	0.123112209200594	0.184048866642496	51.124685178471	90	500	1.5	"Increasing"
"nc_1_500_COX"	0.482245377253851	0.286880490074659	0.0541510767498311	0.0731195099253406	-20.3109749792613	0	500	1	"Constant"
"nonrare_1_500_COX"	0.480170807696051	0.288797802365565	0.0531080708279221	0.0712021976344348	-19.7783882317874	40	500	1	"Constant"
"rare_1_500_COX"	0.626399505398087	0.364910990413549	0.134343196772869	0.0049109904135487	1.36416400376353	90	500	1	"Constant"
"nc_23_500_COX"	0.360250133895393	0.21240240799469	0.0431524331089419	0.14759759200531	-40.9993311125862	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_COX"	0.349939628914036	0.209444105812888	0.0469251708210881	0.150555894187112	-41.8210817186422	40	500	0.666666666666667	"Decreasing"
"rare_23_500_COX"	0.482613646179919	0.243919417136553	0.0928410172392424	0.116080582863447	-32.2446063509574	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_COX"	0.606963111017118	0.363690432902621	0.0446052295159426	0.00369043290262133	1.02512025072815	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_COX"	0.617362784050086	0.377356129107389	0.0464681776213389	0.0173561291073885	4.82114697427459	40	1000	1.5	"Increasing"
"rare_1.5_1000_COX"	0.849949264607819	0.541559961965508	0.0862241415198286	0.181559961965508	50.4333227681966	90	1000	1.5	"Increasing"
"nc_1_1000_COX"	0.478389703935773	0.286522975040217	0.0361109315588824	0.0734770249597833	-20.4102847110509	0	1000	1	"Constant"
"nonrare_1_1000_COX"	0.471850303251268	0.287427060161119	0.0395547198514278	0.0725729398388805	-20.1591499552446	40	1000	1	"Constant"
"rare_1_1000_COX"	0.579115480455854	0.368062713775325	0.122203444024541	0.00806271377532503	2.23964271536806	90	1000	1	"Constant"
"nc_23_1000_COX"	0.355943933921193	0.212987708198597	0.0292877178882839	0.147012291801403	-40.836747722612	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_COX"	0.344907089467753	0.205580276677133	0.031546945393412	0.154419723322867	-42.8943675896853	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_COX"	0.430105260093061	0.234365609259622	0.0624304709074898	0.125634390740378	-34.8984418723271	90	1000	0.666666666666667	"Decreasing"
