"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.806572521827451	0.13061762426228	0.0518726711622105	0.22938237573772	-63.7173265938112	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.793455939149538	0.1232088270647	0.0448613336871221	0.2367911729353	-65.7753258153611	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	0.736797987702956	0.200790839048995	0.058951561727174	0.159209160951005	-44.2247669308348	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.573033604856565	0.0961878878131036	0.0365399957128422	0.263812112186896	-73.2811422741379	0	250	1	"Constant"
"nonrare_1_250_COX"	0.548274561241532	0.0970037256136503	0.032737932055329	0.26299627438635	-73.0545206628749	40	250	1	"Constant"
"rare_1_250_COX"	0.633096141763138	0.196375130542723	0.0682091764158277	0.163624869457277	-45.4513526270213	90	250	1	"Constant"
"nc_23_250_COX"	0.398134898165724	0.0753833347478404	0.0253938547129204	0.28461666525216	-79.0601847922666	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.381637894007708	0.0818418660802417	0.022419696712816	0.278158133919758	-77.266148311044	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.52161753209376	0.18392667304861	0.0506729725776858	0.17607332695139	-48.9092574864971	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.795784532235664	0.126567360461517	0.0382533801989628	0.233432639538483	-64.8423998718009	0	500	1.5	"Increasing"
"nonrare_1.5_500_COX"	0.79743342545479	0.109499635793386	0.037550258851259	0.250500364206614	-69.5834345018372	40	500	1.5	"Increasing"
"rare_1.5_500_COX"	0.683885984959379	0.146375495838744	0.0424606702998792	0.213624504161256	-59.3401400447933	90	500	1.5	"Increasing"
"nc_1_500_COX"	0.563462966626293	0.0887033258379531	0.0276602380437994	0.271296674162047	-75.3601872672353	0	500	1	"Constant"
"nonrare_1_500_COX"	0.541881456195389	0.0801561518138492	0.0257051331398583	0.279843848186151	-77.7344022739308	40	500	1	"Constant"
"rare_1_500_COX"	0.550451571030774	0.137330075541187	0.0418378038746527	0.222669924458813	-61.8527567941148	90	500	1	"Constant"
"nc_23_500_COX"	0.388972847247493	0.0640525218757983	0.0191670193381563	0.295947478124202	-82.2076328122782	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_COX"	0.37406429092598	0.0648167813070656	0.0180282731953402	0.295183218692934	-81.9953385258151	40	500	0.666666666666667	"Decreasing"
"rare_23_500_COX"	0.419900735137554	0.130519623674908	0.0297414502523601	0.229480376325092	-63.7445489791922	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_COX"	0.791365965410894	0.125777962164805	0.0272474982668635	0.234222037835195	-65.0616771764432	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_COX"	0.78025336927779	0.106133369134403	0.0297318295285667	0.253866630865597	-70.518508573777	40	1000	1.5	"Increasing"
"rare_1.5_1000_COX"	0.68044608733257	0.118986014238594	0.0383797314993099	0.241013985761406	-66.9483293781684	90	1000	1.5	"Increasing"
"nc_1_1000_COX"	0.558887729013867	0.0866140735982609	0.0206805240267567	0.273385926401739	-75.9405351115942	0	1000	1	"Constant"
"nonrare_1_1000_COX"	0.545985023089813	0.0738607134135719	0.0216262451325894	0.286139286586428	-79.4831351628967	40	1000	1	"Constant"
"rare_1_1000_COX"	0.537159551857274	0.107560422943521	0.0462694939215024	0.252439577056479	-70.1221047379108	90	1000	1	"Constant"
"nc_23_1000_COX"	0.384267280488604	0.0595212808839918	0.015437345155524	0.300478719116008	-83.4663108655578	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_COX"	0.365234586041106	0.054245341336782	0.0146391928669414	0.305754658663218	-84.9318496286717	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_COX"	0.405612227867171	0.0976955072334034	0.0234085278378092	0.262304492766597	-72.8623591018324	90	1000	0.666666666666667	"Decreasing"
