"m_DE"	"m_IE"	"sd.ie"	"abs.bias.ie"	"prop.bias.ie"	"m_cens"	"N"	"shapeT"	"hazard"
"nc_1.5_250_COX"	0.634674668491816	0.400368206342809	0.0985518273151653	0.0403682063428089	11.2133906507803	0	250	1.5	"Increasing"
"nonrare_1.5_250_COX"	0.709734789874801	0.448026508696962	0.160092253871648	0.0880265086969624	24.4518079713785	40	250	1.5	"Increasing"
"rare_1.5_250_COX"	0.87075150766174	0.514266969209046	0.168667617977891	0.154266969209046	42.8519358914018	90	250	1.5	"Increasing"
"nc_1_250_COX"	0.494258956978815	0.306493865153687	0.0804556967384409	0.0535061348463128	-14.8628152350869	0	250	1	"Constant"
"nonrare_1_250_COX"	0.554294175932068	0.320027159077527	0.101497297271991	0.0399728409224728	-11.1035669229091	40	250	1	"Constant"
"rare_1_250_COX"	0.679830068077461	0.361549869760925	0.127504354516661	0.00154986976092503	0.43051937803473	90	250	1	"Constant"
"nc_23_250_COX"	0.366353753039907	0.222880673138743	0.0663740543213148	0.137119326861257	-38.0887019059047	0	250	0.666666666666667	"Decreasing"
"nonrare_23_250_COX"	0.387981184666831	0.225816234777505	0.075458808191202	0.134183765222495	-37.2732681173596	40	250	0.666666666666667	"Decreasing"
"rare_23_250_COX"	0.574030891243196	0.28607306589691	0.108594286337528	0.0739269341030903	-20.5352594730806	90	250	0.666666666666667	"Decreasing"
"nc_1.5_500_COX"	0.632031476874319	0.392358769047297	0.065459007483189	0.0323587690472975	8.98854695758263	0	500	1.5	"Increasing"
"nonrare_1.5_500_COX"	0.709992297031725	0.433978127233728	0.14092193371913	0.0739781272337279	20.5494797871466	40	500	1.5	"Increasing"
"rare_1.5_500_COX"	0.855083452784659	0.503598153136696	0.114991064509607	0.143598153136696	39.8883758713045	90	500	1.5	"Increasing"
"nc_1_500_COX"	0.492871715555255	0.299552255126577	0.0526028925328314	0.0604477448734228	-16.7910402426174	0	500	1	"Constant"
"nonrare_1_500_COX"	0.531128360798389	0.317939581938348	0.081971799729502	0.0420604180616517	-11.6834494615699	40	500	1	"Constant"
"rare_1_500_COX"	0.630381541776794	0.351179931997891	0.108998640945315	0.00882006800210849	-2.45001888947458	90	500	1	"Constant"
"nc_23_500_COX"	0.36453455646089	0.217067929934816	0.042447830177449	0.142932070065184	-39.7033527958844	0	500	0.666666666666667	"Decreasing"
"nonrare_23_500_COX"	0.383011359745105	0.225340360407779	0.0557218710997066	0.134659639592221	-37.4054554422835	40	500	0.666666666666667	"Decreasing"
"rare_23_500_COX"	0.475063920628926	0.259285234570623	0.0847689203648372	0.100714765429377	-27.9763237303825	90	500	0.666666666666667	"Decreasing"
"nc_1.5_1000_COX"	0.6261018380376	0.395447077297982	0.0466061166377694	0.035447077297982	9.84641036055056	0	1000	1.5	"Increasing"
"nonrare_1.5_1000_COX"	0.727995079924051	0.435886025357127	0.145483229792236	0.0758860253571269	21.0794514880908	40	1000	1.5	"Increasing"
"rare_1.5_1000_COX"	0.833696553028811	0.51142870380174	0.0851685623267752	0.15142870380174	42.0635288338168	90	1000	1.5	"Increasing"
"nc_1_1000_COX"	0.48674018527952	0.302071142276447	0.0377999498788775	0.0579288577235533	-16.0913493676537	0	1000	1	"Constant"
"nonrare_1_1000_COX"	0.534322119005286	0.316213067031104	0.0743884742552404	0.0437869329688964	-12.1630369358045	40	1000	1	"Constant"
"rare_1_1000_COX"	0.627781933490845	0.345010850650854	0.0763900296414054	0.0149891493491455	-4.16365259698487	90	1000	1	"Constant"
"nc_23_1000_COX"	0.358114314493047	0.219083421497073	0.030781954057115	0.140916578502927	-39.1434940285909	0	1000	0.666666666666667	"Decreasing"
"nonrare_23_1000_COX"	0.381915608672847	0.223174365039011	0.0422708878570364	0.136825634960989	-38.007120822497	40	1000	0.666666666666667	"Decreasing"
"rare_23_1000_COX"	0.434648120636808	0.237717535172019	0.0703816784587395	0.122282464827981	-33.9673513411059	90	1000	0.666666666666667	"Decreasing"
